id,superkingdom,phylum,class,order,family,genus,species
ID-4215,Archaea 1,,,,,,uncultured archaeon 1
ID-53853,Archaea 1,,,,,,uncultured archaeon 1
ID-52599,Archaea 1,,,,,,uncultured archaeon 1
ID-62594,Archaea 1,,,,,,uncultured archaeon 1
ID-72412,,,,,,,uncultured microorganism 1
ID-78729,Archaea 1,,,,,,uncultured archaeon 1
ID-32523,Archaea 1,,,,,,uncultured archaeon 1
ID-76608,Archaea 0.5,Euryarchaeota 0.5,Halobacteria 0.5,,,,uncultured prokaryote 0.5;uncultured Halobacteria archaeon 0.5
ID-46129,Archaea 1,,,,,,uncultured archaeon 1
ID-73041,Archaea 1,,,,,,uncultured archaeon 1
ID-35597,Archaea 1,Euryarchaeota 1,,,,,uncultured euryarchaeote 1
ID-56315,Archaea 1,,,,,,uncultured archaeon 1
ID-76957,Archaea 1,Euryarchaeota 0.333333333333333,,,,,uncultured archaeon 0.666666666666667;uncultured euryarchaeote 0.333333333333333
ID-28120,Archaea 1,Euryarchaeota 1,,,,,uncultured euryarchaeote 1
ID-86243,Archaea 1,,,,,,uncultured archaeon 1
ID-7587,Bacteria 1,,,,,,uncultured bacterium 1
ID-9441,Archaea 1,,,,,,uncultured archaeon 1
ID-10782,Bacteria 1,,,,,,uncultured bacterium 1
ID-11214,Archaea 1,,,,,,uncultured archaeon 1
ID-13736,Bacteria 1,,,,,,uncultured bacterium 1
ID-14818,Archaea 1,Euryarchaeota 0.5,,,,,uncultured euryarchaeote 0.5;uncultured archaeon 0.5
ID-17612,Bacteria 1,,,,,,uncultured bacterium 1
ID-18024,,,,,,,uncultured prokaryote 1
ID-18882,Archaea 1,Euryarchaeota 1,,,,,uncultured euryarchaeote 1
ID-24798,Archaea 1,,,,,,uncultured archaeon 1
ID-31144,Archaea 1,,,,,,uncultured archaeon 1
ID-40119,Archaea 1,Euryarchaeota 0.166666666666667;Thaumarchaeota 0.166666666666667,,,,,uncultured euryarchaeote 0.166666666666667;uncultured thaumarchaeote 0.166666666666667;uncultured archaeon 0.666666666666667
ID-40581,Archaea 1,,,,,,uncultured archaeon 1
ID-40938,Archaea 1,,,,,,uncultured archaeon 1
ID-41829,,,,,,,uncultured prokaryote 1
ID-42634,Archaea 0.333333333333333;Bacteria 0.333333333333333,,,,,,uncultured archaeon 0.333333333333333;uncultured prokaryote 0.333333333333333;uncultured bacterium 0.333333333333333
ID-43341,Archaea 1,Thaumarchaeota 0.333333333333333;Crenarchaeota 0.333333333333333,,,,,uncultured thaumarchaeote 0.333333333333333;uncultured crenarchaeote 0.333333333333333;uncultured marine archaeon 0.333333333333333
ID-47382,Archaea 1,,,,,,uncultured archaeon 1
ID-47786,Archaea 1,,,,,,uncultured archaeon 1
ID-48089,Archaea 1,,,,,,uncultured archaeon 1
ID-49280,Archaea 1,Euryarchaeota 0.5,,,,,uncultured archaeon 0.5;uncultured euryarchaeote 0.5
ID-50140,Archaea 1,,,,,,uncultured archaeon 1
ID-54573,Archaea 1,,,,,,uncultured archaeon 1
ID-56144,,,,,,,uncultured organism 1
ID-56632,Archaea 1,Thaumarchaeota 0.333333333333333;Euryarchaeota 0.333333333333333,,,,,uncultured archaeon 0.333333333333333;uncultured thaumarchaeote 0.333333333333333;uncultured euryarchaeote 0.333333333333333
ID-58621,Archaea 1,,,,,,uncultured archaeon 1
ID-59175,Bacteria 1,,,,,,uncultured bacterium 1
ID-59260,Archaea 1,,,,,,uncultured archaeon 1
ID-63002,Archaea 1,,,,,,uncultured archaeon 1
ID-67694,Archaea 1,,,,,,uncultured archaeon 1
ID-69647,Bacteria 1,,,,,,uncultured bacterium 1
ID-71392,Archaea 1,,,,,,uncultured archaeon 1
ID-79891,Archaea 1,,,,,,uncultured archaeon 1
ID-82126,Bacteria 1,,,,,,uncultured bacterium 1
ID-84908,Archaea 1,,,,,,uncultured archaeon 1
